City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Agadez,NE,2022-10-03 14:27:41,19.75,10.25,101.44,8,0,7.05
284,Kunming,CN,2022-10-03 14:27:41,25.0389,102.7183,64.33,82,40,11.18
285,Mokhsogollokh,RU,2022-10-03 14:27:41,61.4681,128.9203,23.45,73,76,4.99
286,Kavieng,PG,2022-10-03 14:27:42,-2.5744,150.7967,82.47,73,99,14.2
287,Yarmouth,US,2022-10-03 14:27:42,41.7057,-70.2286,55.54,68,75,20.71
288,San Andres,CO,2022-10-03 14:24:22,12.5847,-81.7006,84.22,79,75,2.3
289,Antigonish,CA,2022-10-03 14:27:43,45.6169,-61.9986,53.82,64,8,4.0
290,Fairbanks,US,2022-10-03 14:27:19,64.8378,-147.7164,40.08,90,100,5.75
291,Tambura,SS,2022-10-03 14:27:44,5.6,27.4667,80.44,72,77,4.92
292,Vostok,RU,2022-10-03 14:27:44,46.4856,135.8833,42.53,98,100,6.98
293,Amboasary,MG,2022-10-03 14:27:45,-25.0333,46.3833,84.47,42,0,11.34
294,Yaan,NG,2022-10-03 14:27:45,7.3833,8.5667,79.68,75,92,4.14
295,Ponta Do Sol,PT,2022-10-03 14:27:47,32.6667,-17.1,79.0,80,100,1.63
