City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Jibuti,DJ,11.5,42.5,80.2,64,88,7.07,overcast clouds
272,Yulara,AU,-25.2406,130.9889,81.79,24,0,8.93,clear sky
273,Znamenskoye,RU,57.1281,73.8282,48.6,90,100,4.05,overcast clouds
274,Jamkhandi,IN,16.5167,75.3,80.6,60,100,9.28,overcast clouds
275,Ankazoabo,MG,-22.2833,44.5167,74.28,51,0,5.82,clear sky
276,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
277,Finote Selam,ET,10.7,37.2667,55.42,94,93,2.86,overcast clouds
278,Hofn,IS,64.2539,-15.2082,44.83,69,62,9.44,broken clouds
279,Songkhla,TH,6.8333,100.6667,87.85,60,85,3.38,overcast clouds
280,Longyearbyen,SJ,78.2186,15.6401,37.24,75,40,18.41,scattered clouds
281,Hun,LY,29.1268,15.9477,66.33,74,0,3.6,clear sky
282,Micheweni,TZ,-4.9667,39.8333,75.15,84,25,8.3,scattered clouds
283,Udachnyy,RU,66.4167,112.4,30.45,86,99,15.59,overcast clouds
284,Bakel,SN,14.905,-12.4568,85.71,56,98,12.8,overcast clouds
285,Necochea,AR,-38.5473,-58.7368,46.87,89,38,13.49,scattered clouds
286,Taoudenni,ML,22.6783,-3.9836,90.91,14,1,10.65,clear sky
287,Tromso,NO,69.6496,18.957,47.37,81,0,2.3,clear sky
288,Halifax,CA,44.6453,-63.5724,56.21,91,88,3.44,overcast clouds
289,Rawson,AR,-43.3002,-65.1023,60.73,45,75,19.77,broken clouds
290,Souillac,MU,-20.5167,57.5167,73.78,68,40,11.5,scattered clouds
291,Xichang,CN,27.8964,102.2634,73.53,76,91,3.78,overcast clouds
292,Tepalcatepec,MX,19.1833,-102.85,73.31,94,100,1.34,overcast clouds
293,Kaliganj,BD,23.4095,89.1402,85.75,73,84,7.76,broken clouds
294,Sankeshwar,IN,16.2667,74.4833,80.24,65,100,5.75,overcast clouds
295,Mount Gambier,AU,-37.8333,140.7667,53.58,97,100,12.35,light rain
296,Puerto Penasco,MX,31.3167,-113.5333,83.91,73,0,8.34,clear sky
297,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,58,20,11.18,few clouds
298,Maxixe,MZ,-23.8597,35.3472,69.62,94,40,0.0,mist
299,Monrovia,LR,6.3005,-10.7969,76.77,90,100,2.42,moderate rain
300,Iralaya,HN,15.0,-83.2333,76.73,90,100,6.24,overcast clouds
301,Teeli,RU,51.0333,90.2333,40.42,26,24,2.19,few clouds
302,Seoul,KR,37.5683,126.9778,67.39,57,96,2.84,overcast clouds
303,Nurota,UZ,40.5614,65.6886,59.14,19,0,13.33,clear sky
304,Eenhana,NA,-17.4667,16.3333,64.81,19,0,3.85,clear sky
305,Yumen,CN,40.2833,97.2,56.53,23,63,9.01,broken clouds
306,Tarrafal,CV,15.2833,-23.7667,75.99,81,72,5.82,broken clouds
307,Nara,JP,34.6851,135.8049,70.97,73,98,6.96,overcast clouds
308,Bengkulu,ID,-3.8004,102.2655,82.29,68,100,7.09,overcast clouds
309,San Vicente De Canete,PE,-13.0751,-76.3835,59.68,85,37,3.53,scattered clouds
310,Estelle,US,29.8458,-90.1067,73.4,75,0,3.44,clear sky
311,San Policarpo,PH,12.1791,125.5072,84.54,74,100,6.78,light rain
312,Khromtau,KZ,50.2503,58.4347,41.74,30,52,8.7,broken clouds
313,Vilnius,LT,54.6892,25.2798,47.28,100,100,6.91,overcast clouds
314,Beringovskiy,RU,63.05,179.3167,40.62,89,98,17.09,light rain
315,Nantucket,US,41.2835,-70.0995,62.71,98,100,16.11,mist
316,Labytnangi,RU,66.6572,66.4183,35.56,78,47,2.08,scattered clouds
317,Talnakh,RU,69.4865,88.3972,33.21,97,99,2.3,overcast clouds
318,Kudahuvadhoo,MV,2.6708,72.8944,81.5,77,100,16.8,overcast clouds
319,Krasnoselkup,RU,65.7,82.4667,34.47,97,100,12.03,overcast clouds
320,Linguere,SN,15.3953,-15.1193,83.84,65,55,11.16,broken clouds
321,Cherskiy,RU,68.75,161.3,29.3,56,11,11.12,few clouds
322,Zunyi,CN,27.6867,106.9072,75.15,70,68,12.41,broken clouds
323,Porto Walter,BR,-8.2686,-72.7439,75.2,71,3,0.47,clear sky
324,Saskylakh,RU,71.9167,114.0833,26.31,96,100,8.41,light snow
325,Cache Creek,CA,50.8101,-121.3246,58.91,54,100,2.89,overcast clouds
326,Weymouth,US,42.2209,-70.9398,57.07,92,100,18.41,mist
327,Andenes,NO,69.3143,16.1194,48.18,87,75,11.5,light intensity drizzle
328,Avera,US,33.194,-82.5271,55.54,71,0,5.95,clear sky
329,San Quintin,MX,30.4833,-115.95,68.83,85,20,6.78,few clouds
330,Mayo,US,38.8876,-76.5119,52.99,95,100,4.0,overcast clouds
331,Barabai,ID,-2.5833,115.3833,80.85,85,100,1.68,overcast clouds
332,Kigoma,TZ,-4.8769,29.6267,74.95,62,97,5.41,overcast clouds
333,Kirakira,SB,-10.4544,161.9205,82.17,77,35,8.68,scattered clouds
334,Zarechnyy,RU,53.2036,45.1923,49.14,88,99,10.65,overcast clouds
335,Hami,CN,42.8,93.45,58.33,43,98,2.95,overcast clouds
336,Namibe,AO,-15.1961,12.1522,64.62,89,76,4.92,broken clouds
337,Cortez,US,37.3489,-108.5859,50.76,82,0,5.75,clear sky
338,Waimana,NZ,-38.15,177.0833,62.04,74,92,10.89,overcast clouds
339,Kananga,CD,-5.8958,22.4178,67.39,89,75,2.33,broken clouds
340,Constitucion,CL,-35.3333,-72.4167,48.45,91,21,7.23,few clouds
341,Fort Nelson,CA,58.8053,-122.7002,40.59,81,75,5.75,broken clouds
342,Kapuskasing,CA,49.4169,-82.4331,57.29,100,100,3.44,light rain
343,Dois Vizinhos,BR,-25.7336,-53.0572,55.98,88,0,2.51,clear sky
344,Mantua,IT,45.1667,10.7833,63.64,88,0,3.96,clear sky
